sprintId,sprintName,projectName,sprintStartDate,sprintEndDate,storyPoints,sprintDurationPassed,sprintDurationEstimated,parentKey,parentId,sprintStatus,storyKey,isSubTask,storyType,timeSpent,storyStatus,storystatus(list),sprintDurationEstimated(in hours),sprintDurationPassed(in hours),sprintDurationDifference(in hours),parentId(List)
"1,426",EPP Sprint 9,Eurisko Platform Portal,8/14/2023,8/21/2023,13,612001,604800,-,-,active,EPP-111,False,Story,0,To Do,not done,168.0,170.00027777777777,2.000277777777768,No Parent
"1,426",EPP Sprint 9,Eurisko Platform Portal,8/14/2023,8/21/2023,8,612001,604800,-,-,active,EPP-138,False,Task,0,To Do,not done,168.0,170.00027777777777,2.000277777777768,No Parent
"1,426",EPP Sprint 9,Eurisko Platform Portal,8/14/2023,8/21/2023,13,626402,604800,-,-,active,EPP-107,False,Story,"7,200",Done,done,168.0,174.00055555555556,6.0005555555555645,No Parent
"1,426",EPP Sprint 9,Eurisko Platform Portal,8/14/2023,8/21/2023,13,626402,604800,-,-,active,EPP-134,False,Story,0,Done,done,168.0,174.00055555555556,6.0005555555555645,No Parent
"1,426",EPP Sprint 9,Eurisko Platform Portal,8/14/2023,8/21/2023,13,626402,604800,-,-,active,EPP-133,False,Story,"50,400",Done,done,168.0,174.00055555555556,6.0005555555555645,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,8,1565330,604782,-,-,active,HIVERSE-9755,False,Story,"28,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,5,1565330,604782,-,-,active,HIVERSE-9759,False,Story,"14,400",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,5,1565330,604782,-,-,active,HIVERSE-9756,False,Story,"14,400",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,5,1565330,604782,-,-,active,HIVERSE-9757,False,Story,"12,600",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,5,1565330,604782,-,-,active,HIVERSE-9489,False,Story,"14,400",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,8,1565330,604782,-,-,active,HIVERSE-9772,False,Story,"27,000",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,5,1565330,604782,-,-,active,HIVERSE-9592,False,Story,"14,400",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9660,False,Bug,"10,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,3,1565330,604782,-,-,active,HIVERSE-9776,False,Story,"12,600",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,1,1565330,604782,-,-,active,HIVERSE-9809,False,Story,300,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,1,1565330,604782,-,-,active,HIVERSE-9810,False,Story,300,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9820,False,Bug,0,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9821,False,Bug,"3,600",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9824,False,Task,"2,400",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9825,False,Bug,900,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9826,False,Bug,300,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9827,False,Task,0,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9828,False,Task,"1,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9829,False,Bug,"3,600",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9830,False,Task,"1,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9834,False,Bug,900,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9835,False,Bug,"1,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9836,False,Bug,900,Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,418",Sprint 77.1 - KPI Enhancements,Hiverse,8/10/2023,8/17/2023,0,1565330,604782,-,-,active,HIVERSE-9837,False,Bug,"10,800",Done,done,167.995,434.81388888888887,266.81888888888886,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,3,972002,950400,-,-,active,EPP-103,False,Story,"79,200",Done,done,264.0,270.00055555555554,6.000555555555536,No Parent
"1,408",EPP Sprint 8,Eurisko Platform Portal,7/31/2023,8/11/2023,13,972002,950400,-,-,active,EPP-111,False,Story,0,To Do,not done,264.0,270.00055555555554,6.000555555555536,No Parent
